n
"(:Person {born: 1969,name: ""Keanu Reevees123""})"
"(:Person {born: 1967,name: ""Carrie-Annesd Moss""})"
"(:Person {born: 1961,name: ""Laurence Fishburne1234""})"
"(:Person {born: 1960,name: ""Hugo Weaving""})"
"(:Person {born: 1967,name: ""Andy Wachowski""})"
"(:Person {born: 1965,name: ""Lana Wachowski""})"
"(:Person {born: 1952,name: ""Joel Silver""})"
"(:Person {born: 1978,name: ""Emil Eifrem""})"
"(:Person {born: 1975,name: ""Charlize Theron""})"
"(:Person {born: 1940,name: ""Al Pacino""})"
"(:Person {born: 1944,name: ""Taylor Hackford""})"
"(:Person {born: 1962,name: ""Tom Cruise""})"
"(:Person {born: 1937,name: ""Jack Nicholson""})"
"(:Person {born: 1962,name: ""Demi Moore""})"
"(:Person {born: 1958,name: ""Kevin Bacon""})"
"(:Person {born: 1966,name: ""Kiefer Sutherland""})"
"(:Person {born: 1971,name: ""Noah Wyle""})"
"(:Person {born: 1968,name: ""Cuba Gooding Jr.""})"
"(:Person {born: 1957,name: ""Kevin Pollak""})"
"(:Person {born: 1943,name: ""J.T. Walsh""})"
"(:Person {born: 1967,name: ""James Marshall""})"
"(:Person {born: 1948,name: ""Christopher Guest""})"
"(:Person {born: 1947,name: ""Rob Reineree""})"
"(:Person {born: 1961,name: ""Aaron Sorkin""})"
"(:Person {born: 1957,name: ""Kelly McGillis""})"
"(:Person {born: 1959,name: ""Kelly McGillis K.M.M.K""})"
